python3: can't open file 'app.py': [Errno 2] No such file or directory
/home/aalw001/.local/lib/python3.5/site-packages/flask_sqlalchemy/__init__.py:794: FSADeprecationWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True or False to suppress this warning.
  'SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and '
 * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
158.223.1.108 - - [13/Apr/2018 15:27:12] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:12] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:12] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:17] "GET /orders HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 15:27:17] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:17] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:17] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:27] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:27] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:27] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:32] "GET /add_order HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 15:27:32] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:32] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:32] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:42] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 15:27:42] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
